,Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Industry PE,Debt,Price to book value,Cash from operations last year,Debt to equity,Return on equity,Piotroski score,Credit rating,Industry PBV,Equity capital,Total Assets,is in nse
15,Genus Power,530343.0,GENUSPOWER,Electronics - Components,44.75,26.34,1151.68,0.22,17.9,-33.36,168.03,-37.31,15.38,30.0,161.01,1.3,133.6,0.18,11.18,9.0,,1.44,25.74,1279.93,True
19,Hind Rectifiers,504036.0,HIRECT,Electronics - Components,137.85,34.86,228.33,0.58,1.25,-66.12,81.0,15.38,21.02,30.0,75.39,2.34,4.44,0.77,21.26,6.0,,1.44,3.31,242.33,True
20,Honeywell Auto,517174.0,HONAUT,Electronics - Components,45769.65,86.61,40460.37,0.16,149.89,3.56,874.16,-3.0,34.78,30.0,71.46,17.41,329.97,0.03,25.05,7.0,,1.44,8.84,3587.78,True
21,IFB Industries,505726.0,IFBIND,Domestic Appliances,1215.05,132.63,4923.38,0.0,66.34,393.97,922.78,32.08,5.46,73.0,332.43,7.77,168.36,0.52,4.18,4.0,,8.69,41.28,1738.62,True
26,Johnson Con. Hit,523398.0,JCHAC,Air-conditioners,2801.8,,7618.09,0.0,30.83,129.9,487.53,11.83,14.99,104.64,180.72,11.79,139.89,0.28,13.1,6.0,,7.68,27.19,1212.62,True
27,KDDL Ltd,532054.0,KDDL,Miscellaneous,305.4,,355.79,0.65,7.77,144.34,178.23,-12.52,9.37,20.49,215.05,2.07,64.07,1.25,-0.32,4.0,,2.82,11.65,588.62,True
28,MIC Electronics,532850.0,MIC,Electronics - Components,0.65,,14.32,0.0,-2.23,2.62,0.06,-93.26,,30.0,14.48,,0.66,,,3.0,,1.44,44.05,153.21,True
29,MIRC Electronics,500279.0,MIRCELECTR,Electronics - Consumer,14.75,,340.66,0.0,11.01,24.15,301.42,106.01,0.17,56.89,93.73,1.61,-4.21,0.44,-5.48,2.0,,1.34,23.1,516.73,True
30,Orient Electric,541301.0,ORIENTELEC,Domestic Appliances,275.05,62.86,5836.16,0.42,51.94,172.65,618.34,24.74,29.42,73.0,62.26,16.4,129.24,0.17,23.66,7.0,,8.69,21.22,821.52,True
33,PG Electroplast,533581.0,PGEL,Electronics - Components,333.05,,650.41,0.0,6.5,927.87,183.97,31.38,7.84,30.0,161.67,3.8,26.87,0.94,1.83,5.0,,1.44,19.53,472.42,True
39,Stove Kraft,543260.0,STOVEKRAFT,Domestic Appliances,504.15,524.26,1640.92,0.0,33.47,277.34,294.68,47.08,8.91,73.0,338.19,,,,,4.0,,8.69,24.72,472.02,True
41,Symphony,517385.0,SYMPHONY,Domestic Appliances,1446.4,108.05,10118.58,0.35,27.0,-47.06,216.0,-25.52,28.94,73.0,224.0,15.28,156.92,0.34,28.2,5.0,,8.69,14.0,1161.0,True
44,TTK Prestige,517506.0,TTKPRESTIG,Domestic Appliances,7921.9,63.24,10980.86,0.25,86.53,42.06,679.41,24.42,20.58,73.0,14.14,8.2,257.92,0.01,16.18,5.0,,8.69,13.86,1818.35,True
45,Videocon Inds.,511389.0,VIDEOIND,Electronics - Consumer,5.65,,188.97,0.0,,,,,3.91,56.89,58573.98,,-3094.81,,,2.0,,1.34,334.46,50445.06,True
